#id,AGE,MURDER TOOL,CLOTHE,SHOES,HEADWEAR,ACCESSORY,JOB,TIME,PLACE,SOUND,TRACE
5103,40s,Pry Bar,Jersey Zip Hoodie,Red Converse,Comma Hairstyle,Charm Earrings,Cleaner,Morning,Motel in Backstreet,Whistle,Chewed Gum
5104,30s,Chisel,Ivy League Hoodie,Strapped Leather Sandal,Dandy Hairstyle,Gold Cross Necklace,Banker,Late Night,Deep Forest,Finger Snap,Irregular Footprints
5105,60s,Ice Pick,Printed White Tshirt,Suede Boat shoes,Long Hair,Skull Shaped Ring,Photographer,Late Night,Closed Amusement Park,TV Sports Commentaries,Metal Fragments
5106,20s,Bereta APX,Long Field Jacket,Ochre Leather Loper,Long Bleached hair,Engagement Ring,Athletic Trainer,Early Morning,Closed Factory,Twisting Jaw joint,Fly
5107,40s,Walther PPK ,Crop Vest Knit,Ivowy Suede Moccasin,Short Hair,Skull Shaped Ring,Model,Morning,Small Old Supermarket,Chewing Paper Cup,Arson Attempt
5108,70s,Flathead Screwdriver,Jersey Zip Hoodie,German Army Trainers,Short Permed Hair,Engagement Ring,Soldier,Late Night,SUV Back Seats,Cutting Something,Chewed Gum
5109,20s,Thick Rubber Wire,Long Field Jacket,Black Leather Loafer,Short Hair,Millitary Backpack,Hotel Receptionist,Early Morning,Messy Club,Cars On Highway,Fly
5110,30s,Red Brick,Cotton Zip Hoodie,Black Converse,Natural Two Block,Tennis Wristband,Nurse,Morning,Self Service Cafe,Sand Stepping Barefoot,Footprint 265mm workshoes
5111,40s,Jute Twine,Brown Wool Coat,White Running Shoes,Pink Permed Hair,Electronics Anklet,Photographer,Night,Haunted House,Sound of Wave,Black Wig Hair
5112,40s,Police Nightstick,Printed White Tshirt,White Basketball Shoes,Short Permed Hair,Electronics Anklet,Banker,Late Night,University Hospital,Cutting Something,Scorch Mark
5113,50s,Bereta APX,Old Denim Jacket,Logo Printed Slider,Comma Hairstyle,Cross Charm Bracelet,Chef,Morning,Major Bank,Twisting Jaw joint,Paint Stain
5114,30s,Broken Beer Bottle,Brown Wool Coat,German Army Trainers,Pink Permed Hair,Drop earrings,Banker,Deep Dawn,Small Cafe,Slip and Crash,Fibrous Tissues
5115,20s,Round Edged Stone,Jersey Zip Hoodie,Ivory Converse,Long Hair,Buddhist Bead Bracelet,Cleaner,Late Night,Dormitory High School,Wooden Weapon Falling,Irregular Footprints
5116,30s,Shinai,Old Leather Jacket,Black Leather Loafer,Pink Permed Hair,Engagement Ring,Guard,Late Night,Ecological Park,Fan Sound,Excrements
5117,40s,Muscaria Mushroom,Varsity Jacket,Chess Patteren loafer,Comma Hairstyle,Colorful Bracelets,Janitor,Late Night,Lonesome Bus Station,Remote Air Conditioner,Fibrous Tissues
5118,40s,Bereta APX,Blue Shirt,Ivowy Suede Moccasin,High Ponytail,Tennis Wristband,Banker,Late Afternoon,Blackout Parking Lot,Chewing Paper Cup,Excrements
5119,30s,Irregular Shaped Rock,Long Sleeve Tshirt,Red Football Boots,Pomade Hair,Colorful Bracelets,Firefighter,Deep Dawn,Big Square Onstage,Keyboard Sound,Feather
5120,50s,Flathead Screwdriver,Brown Wool Coat,Red Converse,Dandy Hairstyle,Gold Cross Necklace,Professor,Early Morning,Old DVD room,Draw On Asphalt,Women`s Underwear
5121,70s,Potassium Cyanide,Long Padded Coat,White Platform Sneakers,Dandy Hairstyle,Lion Shaped Ring,Mart Cashier,Deep Dawn,Haunted House,Propeller Sound,Headlight
5122,60s,Golf Club,Pilot Bomber Jacket,German Army Trainers,High Ponytail,Colorful Bracelets,Engineer,Deep Dawn,Single Corridor Apartment,Running Treadmill,Chewed Gum
5123,40s,Aluminum Baseball Bat,Long buttonless Cardigan,Chess Patteren loafer,High Ponytail,Black Disposable Mask,Carpenter,Around Midnight,Inn Near Brothel,TV Sports Commentaries,Chewed Gum
5124,40s,Vintage Straight Razor,Short Padded Coat,Bare Foot,Short Hair,Black Disposable Mask,Actor,Late Night,Blackout Parking Lot,Toilet Flush Sound,Excrements
5125,50s,Charging Cable,Ivy League Hoodie,Black Converse,Comma Hairstyle,Cross Charm Bracelet,Hair Designer,Night,SUV Passenger Seat,Sound of Wave,Black Powder
5126,50s,Mercury,Undershirt,Black Leather Loafer,Black Short Babyperm,Silver Stainless Ring,Hotel Receptionist,Night,Small Old Supermarket,Whistle,Feather
5127,30s,Poisoned Medicine,White Tshirt,Black Converse,Pink Permed Hair,Skull Shaped Ring,Nurse,Late Afternoon,Lonesome Bus Station,Chewing Paper Cup,Puppa Maggot
5128,40s,Remington M7188,Purple Short Cardigan,Strapped Leather Sandal,Perm With Bangs,Gold Cross Necklace,Actor,Night,Hostel (Normal Dorm),Sound of Wave,Not Solidfied Blood
5129,20s,Submachine Gun K16,Brown Wool Coat,White Platform Sneakers,Brown Short Babyperm,Millitary Backpack,Director,Late Night,Night Mountain,Dog Barking,Chewed Gum
5130,40s,Rusty Sickle,Printed White Tshirt,White Running Shoes,Natural Two Block,Buddhist Bead Bracelet,Hotel Receptionist,Early Morning,Old Studio Apartment,Twisting Jaw joint,Crumpled Cigarette Package
5131,60s,Pesticide,Long Field Jacket,Ivowy Suede Moccasin,Bob With Bangs,Lip Piercing,Hotel Receptionist,Deep Dawn,Old Snack Bar,Skid Sounds,Skid Mark
5132,20s,Piano Wire,Printed White Tshirt,Cherry Colored Boots,Dandy Hairstyle,Gold Cross Necklace,Mart Cashier,Late Afternoon,Single Corridor Apartment,Chewing Gum,Maggot
5133,70s,Pure Nicotine,Undershirt,Ochre Leather Loper,Black Short Babyperm,Skull Shaped Ring,Mechanic,Morning,SUV Back Seats,Whistle,Lipstick Stained Cigarette
5134,20s,Submachine Gun AR-18,Printed White Tshirt,Black Boots,Short Hair,Electronics Anklet,Janitor,Morning,Convinience Store Table,Whistle,Irregular Footprints
5135,20s,Water,Long Sleeve Tshirt,Black Converse,Pixie Cut,Engagement Ring,Professor,Late Night,New Guest House,Water Shaking,Irregular Footprints
5136,60s,Cordless Drill,Blue Shirt,German Army Trainers,Natural Two Block,Lip Piercing,Guard,Early Morning,Closed Amusement Park,Bearing Groaning,Black Powder
5137,20s,Rusty Pickaxe,Long buttonless Cardigan,Red Converse,Bob With Bangs,Charm Earrings,Sanitation Worker,Morning,Deep Forest,Bearing Groaning,Written In Blood
5138,40s,Muscaria Mushroom,Blue Shirt,Ivory Converse,Pixie Cut,Cross Charm Bracelet,Nurse,Morning,Members Only Studyroom,Washing Machine Sound,Crumpled Cigarette Package
5139,20s,Flathead Screwdriver,Varsity Jacket,Thigh High Wellies,Brown Short Babyperm,Thick Chain Nechlace,Engineer,Morning,Small Old Supermarket,Cars On Highway,Maggot
5140,20s,Poisoned Medicine,Long buttonless Cardigan,Chess Patteren loafer,Short Hair,Millitary Backpack,Nurse,Late Night,Amusement Park Pillar,Dog Barking,Feather
5141,20s,Board With Nails,Pilot Bomber Jacket,Ivory Converse,Comma Hairstyle,Leg Prosthetics,Cleaner,Deep Dawn,Haunted House,Grill the Meat,Ripped Cloth
5142,40s,Heavy Glass Ashtray,Long Padded Coat,Ivory Converse,Pomade Hair,Wide Leather Bracelet,Banker,Morning,Members Only Studyroom,People Having Conversation,Women`s Underwear
5143,70s,Old Circular Saw,Blue Shirt,White Platform Sneakers,Black Short Babyperm,Skull Shaped Ring,Mechanic,Late Night,Middle School,Plastic Beating Sound,Arson Attempt
5144,60s,Water,Vest With Slits,Black Low Sneakers,Pomade Hair,Cross Charm Bracelet,Hotel Receptionist,Night,Small Old Supermarket,Water Shaking,Footprint 245mm Highheels
5145,30s,Wooden Baseball Bat,Brown Wool Coat,Suede Boat shoes,Long Hippie Perm,Skull Shaped Ring,Soldier,Late Afternoon,Messy Goshiwon,Toilet Flush Sound,Footprint 245mm Highheels
5146,20s,Wrapped Blowfish Sashimi,Ivy League Hoodie,Skyblue Flip Flop,Short Hair,Buddhist Bead Bracelet,Sanitation Worker,Night,Small Old Supermarket,Computer Mouse Clicking,Light Brown Hair
5147,30s,Submachine Gun K16,Green Hiking Jacket,White Stained Boots,Pomade Hair,Hand Prothetics,Hotel Receptionist,Morning,Broken Street Lamp,Cutlery Falling down,Erased Blood Stain
5148,20s,Metal Pipe,Old Leather Jacket,Red Football Boots,Long Permed Hair,Skull Shaped Ring,Professor,Morning,Greek Style Pension,Propeller Sound,Disposable Lighter
5149,70s,Packing Strap,Short Padded Coat,Thigh High Wellies,Brown Short Babyperm,Buddhist Bead Bracelet,Chef,Night,Messy Club,Gas Range On,Chewed Gum
5150,30s,Packing Strap,Grey Knit Shirt,Black Leather Loafer,Pomade Hair,Black Backpack,Actor,Late Night,Cargo Truck Back,Remote Air Conditioner,Lipstick Without Fingerprint
5151,20s,Wrapped Blowfish Sashimi,Grey Fleece Hoodie,Brown Leather Loafer,Pomade Hair,Black Backpack,Guard,Morning,Small Cafe,Chewing Paper Cup,Feather
5152,30s,Yellow Box Cutter,Grey Knit Shirt,White Running Shoes,Dandy Hairstyle,Black Disposable Mask,Chef,Morning,Old DVD room,Finger Snap,Paint Stain
5153,50s,Wood Branch,Pilot Bomber Jacket,Black Low Sneakers,Long Bleached hair,Leg Prosthetics,Firefighter,Morning,SUV Back Seats,Water Shaking,Bullet
5154,60s,Packing Strap,Vest With Slits,Strapped Leather Sandal,Short Hair,Buddhist Bead Bracelet,Firefighter,Deep Dawn,Underground Grocery Store,Chewing Gum,Nail Tips
5155,30s,Katana,Long Field Jacket,Ochre Leather Loper,Two Block Haircut,Silver Stainless Ring,Janitor,Night,Messy Club,Hammering Sound,Arson Attempt
5156,50s,White Silk Curtain,Stripe Tshirt,Black Converse,Bald Hair,Buddhist Bead Bracelet,Model,Late Night,Famous Traditional Market,Skid Sounds,Nail Tips
5157,20s,Broken Beer Bottle,Yellow Short Cardigan,Suede Boat shoes,Black Short Babyperm,Thick Chain Nechlace,Guard,Morning,Deep Forest,Keyboard Sound,Empty Cartridge
5158,40s,Rusty Hammer,Vest With Slits,Black Low Sneakers,Cherry Red Hair,Millitary Backpack,Janitor,Morning,PC cafe,Computer Mouse Clicking,Body Hair
5159,30s,Wooden Baseball Bat,Luxury Brown Shearing,Bare Foot,Pink Permed Hair,Engagement Ring,Sanitation Worker,Late Afternoon,Lecture Hall,Sound of Wave,Maggot
5160,60s,Sport Towel,Grey Knit Shirt,Black Low Sneakers,High Ponytail,Thick Chain Nechlace,Cleaner,Late Afternoon,Closed Factory,Electric Fan Sound,Fly
5161,50s,Muscaria Mushroom,Brown Wool Coat,Black Converse,Pixie Cut,Silver Stainless Ring,Director,Deep Dawn,Rooftop Cafe,Spit On Ground,Irregular Footprints
5162,40s,Glacial Acetic Acid,Khaki Tshirt,Black Leather Loafer,Long Hair,Cross Charm Bracelet,Banker,Morning,Officetel Management Office,Running Treadmill,Empty Cartridge
5163,20s,Code Of Law,Varsity Jacket,German Army Trainers,Dandy Hairstyle,Gold Cross Necklace,Janitor,Late Night,Small Old Supermarket,Phone Alarm Ringing,Bullet
5164,30s,Female Stocking,Grey Hiking Jacket,Chess Patteren loafer,Long Layered Hair,Buddhist Bead Bracelet,Sanitation Worker,Late Afternoon,Hostel (Normal Dorm),Chewing Gum,Bullet
5165,60s,Guillotine Paper Cutter,Ivy League Hoodie,Black Dress Shoes,Two Block Haircut,Colorful Bracelets,Hair Designer,Night,Self Service Cafe,Singing Gospell,Cigarette Butts
5166,20s,Remington M7188,Crop Vest Knit,Ochre Leather Loper,Short Hair,Thick Chain Nechlace,Director,Early Morning,Old Snack Bar,Dishwasher Sound,Disposable Lighter
5167,20s,Monkey Wrench,Short Padded Coat,Black Chelsea Boots,Two Block Haircut,Cross Charm Bracelet,Librarian,Late Night,Self Service Bar,Keyboard Sound,Lipstick Stained Cigarette
5168,30s,Hydrochloric Acid,Grey Knit Shirt,White Basketball Shoes,Buzz cut hair,Electronics Anklet,Sanitation Worker,Late Night,Party Room,Plastic Beating Sound,Fly
5169,30s,Coca-cola Bottle,Ivy League Hoodie,Brown Flip Flop,Dandy Hairstyle,Electronics Anklet,Janitor,Late Night,Karaoke Underground,Remote Air Conditioner,Used Toilet Paper
5170,20s,Porcelain Pot,Pilot Bomber Jacket,Blue Football Boots,Short Hair,Millitary Backpack,Nurse,Night,Big Square Onstage,Propeller Sound,Chewed Gum
5171,20s,Glacial Acetic Acid,Ivy League Hoodie,Red Football Boots,Black Short Babyperm,Drop earrings,Janitor,Night,Old Studio Apartment,Dog Barking,Irregular Footprints
5172,60s,Fishing Wire,Short Padded Coat,Knee High Wellies,Comma Hairstyle,Left Ear Pierced,Banker,Night,Normal House,Throw Up Blood,Excrements
5173,20s,Charging Cable,Long Padded Coat,Red Football Boots,Long Hair,Cross Charm Bracelet,Soldier,Late Afternoon,Motel in Downtown,Skid Sounds,Paint Stain
5174,30s,Pesticide,Ivy League Hoodie,Blue Football Boots,Two Block Haircut,Silver Stainless Ring,Cleaner,Morning,Messy Club,Finger Snap,Used Toilet Paper
5175,40s,Poisoned Medicine,Brown Wool Coat,Black Low Sneakers,Bald Hair,Lion Shaped Ring,Janitor,Morning,Middle School,Throw Up Blood,Irregular Footprints
5176,40s,Blue Plastic Nipper,Brown Wool Coat,White Running Shoes,Long Hippie Perm,Left Ear Pierced,Engineer,Night,Single Corridor Apartment,Cat Meow,Black Wig Hair
5177,40s,Monkey Wrench,Yellow Short Cardigan,Ochre Leather Loper,Pink Permed Hair,Buddhist Bead Bracelet,Athletic Trainer,Late Night,Haunted House,Cat Meow,Black Hair
5178,30s,Fabric Scissors,Black Hiking Jacket,German Army Trainers,Brown Short Babyperm,Electronics Anklet,Guard,Night,Motel in Downtown,Whistle,Chewed Gum
5179,30s,Gasoline With Zippo,Green Hiking Jacket,Black Converse,High Ponytail,Lip Piercing,Sanitation Worker,Morning,Small Old Supermarket,TV Sports Commentaries,Cigarette Butts
5180,30s,Water,Logo Printed Windbreaker,Black Leather Loafer,Bob Hair,Engagement Ring,Janitor,Deep Dawn,Inside Taxi,Screaming,Body Hair
5181,20s,Wooden Baseball Bat,Vest With Slits,Black Low Sneakers,Brown Short Babyperm,Black Backpack,Lawyer,Night,Airbnb With Host,Reading Buddhist Text,Maggot
5182,20s,Stained Handsaw,Crop Vest Knit,Black Boots,Bob With Bangs,Skull Shaped Ring,Homeless,Late Night,House With Yard,People Having Conversation,Crumpled Cigarette Package
5183,40s,Metal Pipe,Jersey Zip Hoodie,Black Dress Shoes,Natural Two Block,Thick Chain Nechlace,Engineer,Night,Closed Amusement Park,Propeller Sound,Fly
5184,30s,Walther PPK .32ACP,Khaki Tshirt,Strapped Leather Sandal,Mid-long Straight Hair,Engagement Ring,Model,Late Night,5 Star hotel,Hazy Music,Metal Fragments
5185,20s,Red Chainsaw,Long Sleeve Tshirt,Thigh High Wellies,Pomade Hair,Cross Charm Bracelet,Model,Late Night,University Hospital,Counting Money,Arson Attempt
5186,20s,Wodden Handle Shovel,White Shirt,Black Boots,Two Block Haircut,Black Backpack,Photographer,Deep Dawn,Motel in Downtown,People Having Conversation,Glass Fragments
5187,30s,Beer Bottle,Short Padded Coat,Ochre Leather Loper,Dandy Hairstyle,Engagement Ring,Hair Designer,Early Morning,Old DVD room,Draw On Asphalt,Metal Fragments
5188,40s,Poisoned Medicine,Ivy League Hoodie,Ivory Converse,Pomade Hair,Millitary Backpack,Cleaner,Early Morning,Deep Forest,Toilet Flush Sound,Black Hair
5189,20s,Blue Plastic Nipper,Vest With Slits,Black Converse,Perm With Bangs,Tennis Wristband,Actor,Deep Dawn,Room Cafe,Phone Alarm Ringing,Headlight
5190,50s,Porcelain Pot,Long Sleeve Tshirt,Suede Boat shoes,Pomade Hair,Millitary Backpack,Model,Early Morning,Private English Academy,Bearing Groaning,Maggot
5191,30s,Wrapped Blowfish Sashimi,Grey Hiking Jacket,Red Football Boots,Comma Hairstyle,Cross Charm Bracelet,Athletic Trainer,Late Afternoon,Motel in Downtown,Plastic Beating Sound,Glass Fragments
5192,60s,Wrapped Blowfish Sashimi,Long Field Jacket,Suede Boat shoes,Long Brown hair,Tennis Wristband,Firefighter,Night,Old Guest House,Joint twisted,Weapon With Fingerprint
5193,20s,Rusty Shotgun,Blue Shirt,Black Low Sneakers,Short Permed Hair,Drop earrings,Mechanic,Deep Dawn,Small Cafe,Sound of Wave,Irregular Footprints
5194,60s,Pottassium Chloride,China Collar Shirt,Black Leather Loafer,Comma Hairstyle,Silver Stainless Ring,Soldier,Morning,House With Yard,People Having Conversation,Crumpled Cigarette Package
5195,60s,Venomous Snake Cage,Bulletproof Vest,Blue Football Boots,Long Brown hair,Charm Earrings,Professor,Late Afternoon,Town Hall,Chewing Gum,Disposable Lighter
5196,50s,Broken Beer Bottle,Long buttonless Cardigan,Black Converse,Pomade Hair,Charm Earrings,Sanitation Worker,Morning,Big Old Arboretum,Strong Wind,Black Wig Hair
5197,50s,Rusty Hammer,Short Padded Coat,Bare Foot,Bob With Bangs,Chocker Necklace,Professor,Night,Inn Near Brothel,Dog Barking,Black Button
5198,50s,Wood Branch,Brown Wool Coat,Old Leather Oxford,Two Block Haircut,Silver Stainless Ring,Guard,Morning,Famous Traditional Market,Cutting Something,Different Soil
5199,20s,Muscaria Mushroom,Long Sleeve Tshirt,Red Football Boots,Long Hair,Black Disposable Mask,Guard,Night,Self Service Bar,Phone Alarm Ringing,Black Wig Hair
5200,20s,Wooden Handle Cleaver,Ivy League Hoodie,Ivowy Suede Moccasin,Natural Two Block,Thick Chain Nechlace,Actor,Night,Big Old Arboretum,Cars On Highway,Fly
5201,30s,Golf Club,Vest With Slits,Red Converse,High Ponytail,Stud Earrings,Mart Cashier,Night,Underground Grocery Store,Hazy Music,Paint Stain
5202,50s,Broken Beer Bottle,Long Field Jacket,Black Leather Loafer,Dandy Hairstyle,Wide Leather Bracelet,Lawyer,Morning,Inside Taxi,Bearing Groaning,Bullet
5203,30s,Pry Bar,Cotton Zip Hoodie,Black Low Sneakers,Pink Permed Hair,Colorful Bracelets,Guard,Night,Night Mountain,Water Flowing Sound,Black Wig Hair
5204,40s,Submachine Gun AR-18,Emerald Coach Jacket,Ivory Converse,Perm With Bangs,Engagement Ring,Engineer,Morning,Haunted House,Chewing Paper Cup,Empty Cartridge
5205,50s,Surgical Blade,Grey Fleece Hoodie,White Stained Boots,Long Hippie Perm,Black Backpack,Mechanic,Morning,Passenger Seat,Skid Sounds,Crumpled Cigarette Package
5206,20s,Jute Twine,Blue Shirt,Black Long Boots,Natural Two Block,Black Disposable Mask,Firefighter,Late Night,Motel in Downtown,Running Treadmill,Light Brown Hair
5207,20s,Irregular Shaped Rock,Ivy League Hoodie,Black Converse,Brown Short Babyperm,Skull Shaped Ring,Janitor,Late Afternoon,Closed Amusement Park,Hammering Sound,Light Brown Hair
5208,40s,Machete,Jersey Zip Hoodie,Brown Flip Flop,Cherry Red Hair,Leg Prosthetics,Director,Late Night,Old DVD room,Computer Mouse Clicking,Bullet
5209,60s,Police Nightstick,Undershirt,Black Dress Shoes,Cherry Red Hair,Buddhist Bead Bracelet,Mart Cashier,Night,Self Service Bar,TV Sports Commentaries,Cigarette Butts
5210,20s,Ski Pole,Long Sleeve Tshirt,Ivory Converse,Cherry Red Hair,Cross Charm Bracelet,Actor,Night,House With Yard,Fan Sound,Footprint 265mm workshoes
5211,30s,Collectible Suseok,Purple Short Cardigan,White Platform Sneakers,Pomade Hair,Buddhist Bead Bracelet,Professor,Morning,Small Theater Onstage,Sound of Chainsaw,Chewed Gum
5212,50s,Stainless Sashimi Knife,Logo Printed Windbreaker,Blue Football Boots,Two Block Haircut,Tennis Wristband,Director,Morning,Semi Basement Apartment,Water Flowing Sound,Chewed Gum
5213,40s,Piano Wire,Grey Knit Shirt,Strapped Leather Sandal,Pomade Hair,Cross Charm Bracelet,Hotel Receptionist,Late Night,University Hospital,Quite Conversation,Lipstick Stained Cigarette
5214,50s,Old Circular Saw,Grey Fleece Hoodie,Suede Boat shoes,Long Hair,Electronics Anklet,Mechanic,Deep Dawn,Private English Academy,Fan Sound,Used Toilet Paper
5215,20s,Stained Handsaw,Brown Wool Coat,White Stained Boots,Mid-long Curly Hair,Black Backpack,Mart Cashier,Early Morning,Old DVD room,Hazy Music,Skid Mark
5216,20s,Blue Plastic Nipper,Emerald Coach Jacket,Black Leather Loafer,Mid-long Curly Hair,Colorful Bracelets,Athletic Trainer,Deep Dawn,Inn Near Brothel,Irregular Walking Sound,Chewed Gum
5217,60s,Dental Drill,Long Sleeve Tshirt,Strapped Leather Sandal,Mid-long Ponytail,Colorful Bracelets,Cleaner,Morning,Inside Taxi,Digging With Shovel,Lipstick Without Fingerprint
5218,40s,Black Belt,Logo Printed Sweatshirt,White Basketball Shoes,Long Hair,Stud Earrings,Homeless,Late Night,Convinience Store Table,Sand Stepping Barefoot,Crumpled Cigarette Package
5219,50s,White Silk Curtain,Ivy League Hoodie,Blue Colored Boots,Buzz cut hair,Buddhist Bead Bracelet,Athletic Trainer,Morning,School Reunions,Cutlery Falling down,Paint Stain
5220,60s,Gasoline With Zippo,Old Denim Jacket,White Basketball Shoes,Bob With Bangs,Engagement Ring,Model,Late Night,Officetel Management Office,Hazy Music,Chewed Gum
5221,50s,Porcelain Pot,White Tshirt,Black Low Sneakers,Pixie Cut,Chocker Necklace,Soldier,Late Night,Single Corridor Apartment,Chewing Paper Cup,Black Vinyl Bag
